KECAMATAN;ISLAM;KRISTEN;KATHOLIK;HINDU;BUDHA;KONGHUCHU;KEPERCAYAAN
SRANDAKAN;30911;101;201;5;0;0;0
SANDEN;31727;37;206;2;0;0;0
KRETEK;29774;289;780;18;1;0;1
PUNDONG;34919;539;450;0;0;0;0
BAMBANGLIPURO;37628;332;3906;10;2;0;2
PANDAK;50081;357;1560;8;1;3;3
PAJANGAN;35364;279;391;2;2;0;2
BANTUL;61251;859;2242;9;2;0;2
JETIS;57153;969;424;0;0;0;3
IMOGIRI;62705;226;609;0;1;1;0
DLINGO;39456;66;13;0;0;0;2
BANGUNTAPAN;104468;3141;3798;494;51;0;3
PLERET;48043;41;79;6;1;0;0
PIYUNGAN;51399;359;558;6;10;0;1
SEWON;96461;1164;2061;84;31;0;6
KASIHAN;95428;2711;5157;140;84;0;7
SEDAYU;44172;895;2565;4;10;0;0
